BerufId;Beruf
1;<kein Beruf>
5377;A-Telefonmonteur
4382;Abbrenner (Lackentferner)
2607;Abbrucharbeiter
2594;Abbruchunternehmer
13603;ABC-Schutz-Spezialist
15716;Abdecker
2990;Abdichter
7086;Abdichter (Kunststoffindustrie)
2970;Abdichtungsfachmann
8079;Abdichtungstechniker
17243;Abendschullehrer
14452;Abendunterhalter
15661;Abfall-Planer
15691;Abfallangestellter
15658;Abfallaufbereiter
15656;Abfallbelader
15670;Abfallberater
15659;Abfallbewirtschafter
15657;Abfallentsorger
1013;Abfallgarnspinner
15666;Abfallsortierer
15654;Abfallverbrennungsarbeiter
15660;Abfallverwertungsmeister
12641;Abfertigungsbeamter
15665;Abfuhrarbeiter
924;Abfüllchef
18086;Abfüller
1919;Abfüller von Daunen
925;Abfüllkontrolleur
1044;Abgangssammler
8655;Abgasspezialist für Autos
3664;Abgiesser (Keramik)
2146;Abglaser (Schuhindustrie)
3826;Abgrater
13147;Abholdienstangestellter
4525;Abkanter
4372;Abkantspezialist
504;Abkocher
9856;Ablagehalter
18352;Ablänger
15612;Ablauf- und Rohrreiniger
18723;Abläufer
2845;Ablauger
12295;Ableger
13322;Ableger PTT
13376;Ableger, Post
11768;Abnahmebeamter
11377;Abonnementsdienstleiter
12245;Abonnementskontrolleur
12257;Abonnementsverwaltungsangestellter
9724;Abonnentenwerber
15608;Abortwärter
18091;Abpacker
2209;Abputzer (in Schuhindustrie)
8803;Abraumbaggerführer
11511;Abrechner
8887;Abrichthobler
8885;Abrichtkehler
18082;Absacker
5783;Absäger
2111;Absatzaufmacher
2117;Absatzausglaser
2206;Absatzdreher
2110;Absatzfärber
2101;Absatzfräser
2133;Absatzhefter
2103;Absatzlackierer
2126;Absatzschleifer
2121;Absatzüberzieher
2093;Absatzzuschneider
7870;Abschirmtechniker
3339;Abschleifer (Steinbearbeitung)
5764;Abschlepper
8747;Abschmierer
18394;Abschwemmer
2622;Abspitzer
3232;Absprenger
3705;Abstecher
18675;Abstecker
1616;Abstecker, Konfektion
16789;Abt
15823;Abteilungsarzt
11266;Abteilungschef (nicht Direktionsmitglied)
11172;Abteilungschef (öffentlicher Dienst, Direktionsmitglied)
12071;Abteilungscontroller
18626;Abteilungsgehilfe
11265;Abteilungsleiter (nicht Direktionsmitglied)
11152;Abteilungsleiter (öffentlicher Dienst)
10129;Abteilungsleiter Bank
9119;Abteilungsleiter Einkauf
11473;Abteilungsleiter Kaufhaus
11305;Abteilungsleiter Lehrlingswesen
11447;Abteilungsleiter Produktion
9353;Abteilungsleiter Verkauf
11306;Abteilungsleiterstellvertreter
11316;Abteilungsleiterstellvertreter 1
8577;Abteilungsmeister
11588;Abteilungssekretär
11174;Abteilungsvorsteher (öffentlicher Dienst, Direktionsmitglied)
3290;Abteufarbeiter
2837;Abtöner
1815;Abtrenner in Stickerei
15552;Abwart
15534;Abwartgehilfe
15572;Abwartstellvertreter
15310;Abwascher
15267;Abwaschküchenleiter
15687;Abwasseranlagenwärter
17865;Abwasserchemiker
7663;Abwasseringenieur
3122;Abwasserinstallateur
8085;Abwassertechniker
8099;Abwassertechniker 1
18116;Abwieger
14780;Abzeichenemailleur
1808;Abzeichensticker
6574;Abziehbilderdrucker
6627;Abzieher
6543;Abzüger
7832;Account Engineer
10888;Account Manager
12072;Account Underwriter
12055;Accountant
4409;Acetylenabbrenner
4416;Acetylenschweisser
6869;Acetylierer
5407;Acheveur
5438;Acheveur in Schalenfabrik
5479;Acheveur-Schweisser
4572;Achsenschmied
7492;Ackerbauingenieur
6328;Additionskopist
10991;Adjunkt
11938;Adjunkt des Amtsvormunds
10038;Adjunkt des Bankdienstchefs
13835;Adjunkt des Chefredaktors
11394;Adjunkt des stellvertretenden Generaldirektors
11392;Adjunkt Fabrikationschef
11393;Adjunkt Gruppenchef
13559;Adjunkt Kommandant
10334;Adjunkt Sales Promotion
11105;Adjunkt SBB-Sektion
13651;Adjunkt Zollwächter
13570;Adjutant
13556;Adjutant-Unteroffizier
12258;Administrationsassistent
11376;Administrationsleiter
12254;Administrationssekretär
12279;Administrativer Assistent
11428;Administrativer Dienstchef (nicht Direktionsmitglied)
11094;Administrativer Dienstchef (öffentlicher Dienst, Direktionsmitglied)
10817;Administrativer Dienstchef (Privatwirtschaft, Direktionsmitglied)
12237;Administrator
12271;Adremapräger
6528;Adressendrucker
11518;Adressierer
12516;ADV-Fachmann
13725;Advokat
13743;Advokat LL.M
13729;Advokat und Notar
13744;Advokat-Notar LL.M
17202;Aerobiclehrer
17957;Aerodynamiker
17810;Aerologe
12533;Aeronautical Database Editor
13101;Aeronautiker
17743;Aeropalynologe
7349;Aerospace Engineer
711;Affineur
10585;Agent
10574;Agent von industriellen Betrieben
10597;Agent, dipl. HFP
10718;Agenturdirektor
10813;Agenturleiter (Direktionsmitglied)
11267;Agenturleiter (nicht Direktionsmitglied)
16762;Agoge
2148;Agraffeneindrücker
7473;Agraringenieur
7487;Agraringenieur HTL
17833;Agrarmeteorologe
7517;Agrarökonom
7497;Agrartechniker
